,ACCT_STREET_ADDR,NEW ADDRESS
308,4510 NW 6TH PL STE 3,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['DIGIT']]),"
341,100 MENO PARK MALL STE500,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['ALNUM']]),"
343,4955 NORTH MARKET STREET HWY 1,"("""", [['DIGIT'], ['DIR'], ['ALPHA'], ['WAY'], ['WAY'], ['DIGIT']]),"
366,1029 HIGHWAY 51 STE E2,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['APT'], ['ALNUM']]),"
368,3544 RANCH ROAD 620 S APT 2103,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
377,1060 S 3RD ST APT 103,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['DIGIT']]),"
389,404 IONIA AVE SW,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR']]),"
390,7702 N OWASSO EXPY,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA']]),"
397,25108 RYE CANYON LOOP,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA']]),"
427,2736 N LAKE DR # 106-107,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT'], ['DIGIT']]),"
434,7422 CARMEL EXECUTIVE PARK DR STE 201,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['DIGIT']]),"
463,601 W 8TH ST APT B3,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['ALNUM']]),"
471,3360 N STATE HIGHWAY 59 STE H,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['LETTER']]),"
483,2517 HIGHWAY 35 BLDG H STE 1,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALPHA'], ['LETTER'], ['APT'], ['DIGIT']]),"
487,3000 E 138TH PL S,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['LETTER', 'DIR']]),"
507,1919 28TH AVE S # S 113,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['LETTER', 'DIR'], ['POUND'], ['LETTER', 'DIR'], ['DIGIT']]),"
520,700 CAPITOL TRL # 8LP,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['NUMSTR']]),"
525,3900 OLD CHENEY RD STE 201-334,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['DIGIT']]),"
532,301 W 29TH ST # 104,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['DIGIT']]),"
537,1505 SPARKMAN DR NW APT 170,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['DIGIT']]),"
551,701 RIDGE HILL BLVD UNIT 10I,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
564,13721 FM 1097 RD W STE E,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['LETTER', 'DIR']]),"
615,214 N EL CAMINO REAL STE A,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ARTI'], ['ALPHA'], ['ALPHA'], ['APT'], ['LETTER']]),"
616,60 31ST AVE # 139,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['POUND'], ['DIGIT']]),"
645,5306 BUFORD HWY NE STE B,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['LETTER']]),"
657,11269 183RD ST # C120,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['ALNUM']]),"
676,3960 W POINT LOMA BLVD STE H,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['WAY'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
687,11811 US HIGHWAY 1 # 200/204,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['POUND'], []]),"
694,2337 E COUNTY 17TH ST,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
736,6331 CR 1125 76,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['DIGIT']]),"
753,N1779 COUNTY ROAD CX,"("""", [['ALNUM'], ['ALPHA'], ['WAY'], ['ALPHA']]),"
756,550 N 159TH ST E STE 303,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
758,3050 PIO PICO DR # B,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]),"
785,3379 S COUNTY ROAD 550 W,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR']]),"
815,470 LENFANT PLZ SW # 704,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIR'], ['POUND'], ['DIGIT']]),"
831,1112-1120 SHEPHERD DR,"("""", [['DIGIT'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
867,4002-4004 SPRUCE ST,"("""", [['DIGIT'], ['DIGIT'], ['ALPHA'], ['WAY', 'PRE']]),"
873,3035 BRIDGE ST NW 2803,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['DIR'], ['DIGIT']]),"
902,6800 VIA DEL CERRO NE,"("""", [['DIGIT'], ['ALPHA'], ['ARTI'], ['ALPHA'], ['DIR']]),"
915,210 PHYSICIANS PARK DR STE S,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['LETTER', 'DIR']]),"
930,3678 W TECO STE2,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALNUM']]),"
964,1900 N 2225 W APT 204,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
966,1042 INTERSTATE 35 FRONTAGE RD,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
984,15 WAVERLY PL LOWR LEVEL,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['ALPHA']]),"
992,3-104 W ARMY TRAIL RD,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
1035,1630 30TH ST STE B,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['LETTER']]),"
1038,23024 LAKE FOREST DR STE C,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
1064,717 S INTERSTATE 35 E 124,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['LETTER', 'DIR'], ['DIGIT']]),"
1085,1518 K ST NW,"("""", [['DIGIT'], ['LETTER'], ['WAY', 'PRE'], ['DIR']]),"
1095,134 SAINT CLAIR SQ # 168,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
1109,10397 S WHITE ROCK RD APT B,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
1155,3233 ROUTE 20A,"("""", [['DIGIT'], ['WAY'], ['AL_1NUM', 'NUMSTR']]),"
1172,125 W BURTON AVE # B,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER']]),"
1193,5838 SAN FERNANDO RD STE B,"("""", [['DIGIT'], ['PRE'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
1274,1769 NW SAINT LUCIE WEST BLVD,"("""", [['DIGIT'], ['DIR'], ['PRE'], ['ALPHA'], ['DIR'], ['WAY']]),"
1282,3131 MANCHESTER EXPRESS WAY 3,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIGIT']]),"
1300,2204 W NOB HILL BLVD STE C,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['LETTER']]),"
1319,150 HALSEY ST UNIT EAST,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], ['DIR']]),"
1364,300 S HIGHLAND SPRINGS AVE STE 6C,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
1375,7334 S ALTON WAY UNIT 14-C,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['LETTER']]),"
1393,1011 NC HIGHWAY 150 W STE B,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['LETTER', 'DIR'], ['APT'], ['LETTER']]),"
1409,179 BOYLSTON STREET BLDG P FL,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['LETTER'], ['APT']]),"
1432,4875 TX-6,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT']]),"
1506,9106 S 36TH WEST AVE,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['DIR'], ['WAY']]),"
1509,3195 28TH ST 100 WOODLAND MALL,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
1540,10000 COORS BYPASS NW,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIR']]),"
1546,791 ELMGROVE RD BLDG 1 FL 2,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['DIGIT'], ['APT'], ['DIGIT']]),"
1556,1 JFK TERMINAL BLDG55,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALNUM']]),"
1592,398 N BROAD STREET EXT,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['ALPHA']]),"
1598,200 GARDEN VIEW WAY # 1101,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['DIGIT']]),"
1619,8065 ELK GROVE FLORIN RD STE 120,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]),"
1632,32006 SE REDMOND FALL CITY RD,"("""", [['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
1684,4180 OLD MILTON PKWY STE 1B,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
1738,700 BUSINESS LOOP 70 E,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIGIT'], ['LETTER', 'DIR']]),"
1756,1302 BLALOCK RD # FC-3,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['ALPHA'], ['DIGIT']]),"
1758,1272 N GREAT NECK RD # PMB349,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['ALNUM']]),"
1759,2020 124TH AVE NE STE C10,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['DIR'], ['APT'], ['ALNUM']]),"
1762,13407 117TH AVENUE CT E,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['WAY'], ['LETTER', 'DIR']]),"
1780,2300 OLD MOUNTAIN ROAD CENTRAL,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['ALPHA']]),"
1796,3050 MAIN ST W,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['LETTER', 'DIR']]),"
1797,7381-A BALTIMORE ANNAPOLIS BLVD,"("""", [['DIGIT'], ['LETTER'], ['ALPHA'], ['ALPHA'], ['WAY']]),"
1812,124 QUARTERBACK RDG N,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['LETTER', 'DIR']]),"
1853,2112 E 31ST ST N,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['LETTER', 'DIR']]),"
1938,8000 W SUNSET BLVD # A 202,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['POUND'], ['LETTER'], ['DIGIT']]),"
1991,8213 W FLOYD AVE APT 8-301,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['DIGIT']]),"
2013,2365 WALL ST SE STE 201,"("""", [['DIGIT'], ['ALPHA'], ['WAY', 'PRE'], ['DIR'], ['APT'], ['DIGIT']]),"
2059,200 N WASHINGTON ST # UNIT,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['APT']]),"
2075,17631 BRUCE B DOWNS BLVD STE 5,"("""", [['DIGIT'], ['ALPHA'], ['LETTER'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT']]),"
2145,4309 W 27TH AVE STE 101,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['DIGIT']]),"
2147,4003 HWY 78 STE530-144,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALNUM'], ['DIGIT']]),"
2172,2431 US HIGHWAY 1 STE 4,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['APT'], ['DIGIT']]),"
2174,65 W EASY ST UNIT 105/108,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY', 'PRE'], ['APT'], []]),"
2213,14 S PACK SQ STE LL 100,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT'], ['ALPHA'], ['DIGIT']]),"
2235,2010 OLD MONTGOMERY HWY SUITE,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT']]),"
2246,600 RT 45 STE BD E,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['APT'], ['ALPHA'], ['LETTER', 'DIR']]),"
2253,12870 TRADE WAY FOUR # 4 UNIT 112,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['POUND'], ['DIGIT'], ['APT'], ['DIGIT']]),"
2299,212 26TH ST # 252,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['DIGIT']]),"
2314,15311 VANTAGE PKWY W STE 131,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['DIGIT']]),"
2337,1445 AMERICAN PACIFIC 110-2,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['DIGIT'], ['DIGIT']]),"
2345,1915 ASHWOOD DOWNS LN SE 2,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['DIGIT']]),"
2357,4680 E 2ND ST STE C,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['LETTER']]),"
2363,695 SATURN BLVD STE F & G,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER'], [], ['LETTER']]),"
2379,1840 41ST AVE STE 102-182,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['DIGIT'], ['DIGIT']]),"
2381,301 N GARFIELD AVE STE B & D,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER'], [], ['LETTER']]),"
2467,12225 VOYAGER PKWY SET 16,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['ALPHA'], ['DIGIT']]),"
2468,2620 CENTRAL PARK AVE # 01,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['POUND'], ['DIGIT']]),"
2482,340 THE BRIDGE STREET TOWN CTR,"("""", [['DIGIT'], ['ARTI'], ['ALPHA'], ['WAY'], ['ALPHA'], ['WAY']]),"
2503,10728 HWY 36 ROCKVILLE RD,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['ALPHA'], ['WAY']]),"
2526,1557 E AMAR ROAD D & E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['LETTER'], [], ['LETTER', 'DIR']]),"
2551,443 OPRY MILLS DR # FC-3,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['POUND'], ['ALPHA'], ['DIGIT']]),"
2561,14101 SULLYFIELD CIR STE 340-V,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['LETTER']]),"
2589,805 MEDIA LUNA ST # 720,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY', 'PRE'], ['POUND'], ['DIGIT']]),"
2602,3440 SW US VETERANS HOSPITAL R,"("""", [['DIGIT'], ['DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['LETTER']]),"
2629,5515 CAMINO ALY N STE101,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['LETTER', 'DIR'], ['ALNUM']]),"
2731,4985 W US 36TH,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['NTH', 'NUMSTR']]),"
2756,620 BUTLER CROSSING STE 1,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['APT'], ['DIGIT']]),"
2831,1023-1025 N BROADWAY,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['ALPHA']]),"
2850,200 GARDEN CITY PLZ STE 105,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['APT'], ['DIGIT']]),"
2856,3308 PRESTON RD STE 350-370,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['APT'], ['DIGIT'], ['DIGIT']]),"
2866,340 W 26TH ST STE E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['LETTER', 'DIR']]),"
2936,360 ROUTE 101 4B,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], ['AL_1NUM', 'NUMSTR']]),"
3001,5800 CAMPUS CIRCLE DR E STE 208A,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['AL_1NUM', 'NUMSTR']]),"
3011,1192 6TH ST # 1192-1200,"("""", [['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['POUND'], ['DIGIT'], ['DIGIT']]),"
3033,1100 FASHION CENTER BLVD B 10,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['LETTER'], ['DIGIT']]),"
3066,1727 US 13N,"("""", [['DIGIT'], ['ALPHA'], ['AL_1NUM', 'NUMSTR']]),"
3078,757 E EL CAMINO REAL,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ARTI'], ['ALPHA'], ['ALPHA']]),"
3093,1201 BROADWAY # U-F219,"("""", [['DIGIT'], ['ALPHA'], ['POUND'], ['LETTER'], ['ALNUM']]),"
3141,21712 HAWTHORNE BLVD # VC07,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['POUND'], ['ALNUM']]),"
3193,4146 E PONCE DE LEON AVE,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ARTI'], ['ALPHA'], ['WAY']]),"
3279,PO BOX 583 BROADWAY & 7TH ST,"("""", [['POB0'], ['POB2'], ['DIGIT'], ['ALPHA'], [], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
3290,HC 65 BOX 5008,"("""", [['ALPHA'], ['DIGIT'], ['POB2'], ['DIGIT']]),"
3308,7309 U S 64 ALT,"("""", [['DIGIT'], ['LETTER'], ['LETTER', 'DIR'], ['DIGIT'], ['ALPHA']]),"
3310,3010 ISSAQUAH PINE LAKE RD SE,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]),"
3317,1041 ROUTE 22 & 6,"("""", [['DIGIT'], ['WAY'], ['DIGIT'], [], ['DIGIT']]),"
3319,4893 COUNTY HIGHWAY I,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['LETTER']]),"
3377,19565 E WALNUT DR S UNIT B6,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['ALNUM']]),"
3399,5444 FM 423 STE 100,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['APT'], ['DIGIT']]),"
3411,133 & 135 4TH ST,"("""", [['DIGIT'], [], ['DIGIT'], ['NTH', 'NUMSTR'], ['WAY', 'PRE']]),"
3418,130 N SANTA CRUZ AVE STE G,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['PRE'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
3423,1311 CUESTA ABAJO CT NE STE H,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR'], ['APT'], ['LETTER']]),"
3444,4833 BEREWICK TOWN CENTER DR STE C,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['LETTER']]),"
3488,705 W 7TH AVE STE A3,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['ALNUM']]),"
3495,13510 AURORA AVE N STE A,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['LETTER', 'DIR'], ['APT'], ['LETTER']]),"
3511,7731 NE 33RD DR STE A,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['WAY'], ['APT'], ['LETTER']]),"
3521,6128 E FIELDSTONE HILLS DR SE,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['DIR']]),"
3532,1 ELY PARK BLVD APT L1,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['ALNUM']]),"
3561,16940A COUNTY ROAD 126,"("""", [['AL_1NUM', 'NUMSTR'], ['ALPHA'], ['WAY'], ['DIGIT']]),"
3608,10045 BALTIMORE NATIONAL PIKE STE A6,"("""", [['DIGIT'], ['ALPHA'], ['ALPHA'], ['WAY'], ['APT'], ['ALNUM']]),"
3611,246 CR A020,"("""", [['DIGIT'], ['ALPHA'], ['ALNUM']]),"
3627,1800 S LOOP 288 STE 397,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['DIGIT'], ['APT'], ['DIGIT']]),"
3657,1100 NE 45TH ST STE 100,"("""", [['DIGIT'], ['DIR'], ['NTH', 'NUMSTR'], ['WAY', 'PRE'], ['APT'], ['DIGIT']]),"
3702,1201 BROADWAY SPC F203,"("""", [['DIGIT'], ['ALPHA'], ['APT'], ['ALNUM']]),"
3703,10300 S COUNTY ROAD 680E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['AL_1NUM', 'NUMSTR']]),"
3720,401-409 N MILWAUKEE AVE,"("""", [['DIGIT'], ['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY']]),"
3795,5551 S WHITE MOUNTAIN RD STE4,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['WAY'], ['ALNUM']]),"
3804,5717 W WELLS PARK RD W,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['WAY'], ['LETTER', 'DIR']]),"
3845,8300 N HIGHWAY 620 NORTH E,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['WAY'], ['DIGIT'], ['DIR'], ['LETTER', 'DIR']]),"
3862,4940 SH 121 STE145,"("""", [['DIGIT'], ['ALPHA'], ['DIGIT'], ['ALNUM']]),"
3892,60 E BROADWAY STE C335,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['APT'], ['ALNUM']]),"
3919,1020 E OLYMPUS PARK DR APT E206,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['WAY'], ['WAY'], ['APT'], ['ALNUM']]),"
3963,225 COUNTY ROAD 522 BLDG 202,"("""", [['DIGIT'], ['ALPHA'], ['WAY'], ['DIGIT'], ['ALPHA'], ['DIGIT']]),"
4016,2175 N VIA MONTE VIS,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['ALPHA'], ['ALPHA'], ['ALPHA']]),"
4024,11248 N 1800 BLVD,"("""", [['DIGIT'], ['LETTER', 'DIR'], ['DIGIT'], ['WAY']]),"
